,ONSConstID,AgeCat,ONSed,SexCat,Observation,Lab,Con,LD,Oth
0,E14001063,3,0,1,156,20.23367924180631,12.250061636773767,5.704939060910054,8.944663640502144
1,E14001063,3,0,2,426,59.765596863758596,39.8511494697085,15.038180789889825,26.65955195393106
2,E14001063,3,1,1,650,101.33606490275166,79.28117197481079,40.759408118490455,59.89638091746111
3,E14001063,3,1,2,913,150.1347410760108,129.46382689229088,54.083100288441884,89.4669764488448
4,E14001063,3,2,1,97,21.266259883396277,11.683555442433144,8.973724467484304,6.091645119831414
5,E14001063,3,2,2,225,51.81296291222595,31.393962410965795,19.61616965656989,14.975476181483735
6,E14001063,4,0,1,160,25.902750152922014,0.1732184071682675,3.3309785054908287,10.016845529794024
7,E14001063,4,0,2,343,61.65599041845535,0.4491585691392415,7.122918324965883,24.08413109078425
8,E14001063,4,1,1,600,134.40071359679712,1.1690592686628023,24.21518307844913,68.78784123907275
9,E14001063,4,1,2,697,169.24319508999213,1.606350073015971,27.497974626520552,87.3521458533505
10,E14001063,4,2,1,194,62.25353675636638,0.3949635234836672,11.944051946074676,15.832139475694653
11,E14001063,4,2,2,293,100.73352273994173,0.6991539703795496,17.437669225688015,25.91446396862871
12,E14001063,5,0,1,267,21.12662826359251,0.19330406103109857,2.7482228052633073,23.01556373000099
13,E14001063,5,0,2,354,31.39454520285173,0.31531786788979327,3.6433100995657877,34.38485233643119
14,E14001063,5,1,1,868,98.87770538009086,1.207599554566688,18.45958384102387,143.07886122038806
15,E14001063,5,1,2,957,119.38510231054046,1.6057498592538284,19.931030328575634,173.4986599890359
16,E14001063,5,2,1,961,195.39405557566695,1.6079047114372598,38.01157475788798,142.1062626764201
17,E14001063,5,2,2,870,191.29281498032748,1.7266991496253308,33.370150988856025,140.11713551803507
18,E14001063,6,0,1,596,96.68555397668602,15.507797543377226,12.529883300626665,51.91258246873149
19,E14001063,6,0,2,828,146.55819140031662,26.007615328388273,16.875304606531092,79.26985872598596
20,E14001063,6,1,1,1500,309.76919569689613,65.13335930461739,57.97499959069525,223.3750972677544
21,E14001063,6,1,2,1689,371.1058811823981,86.15743381152468,61.96080671993463,269.1960850259652
22,E14001063,6,2,1,2189,669.3795673768128,97.9175767806991,132.1304594281154,233.5745021370925
23,E14001063,6,2,2,1930,622.3565431752668,100.70302065186155,109.72562838824884,218.90919398856576
24,E14001063,7,0,1,786,114.24194620477105,15.293245855197094,11.698445873949515,68.28823658253206
25,E14001063,7,0,2,947,150.90200788547497,22.286213551946805,13.679842770896558,90.81720546938517
26,E14001063,7,1,1,1680,324.2030773595889,57.11113291383442,47.909714576577734,259.9160623037151
27,E14001063,7,1,2,1688,348.07031970517295,67.56010712322664,45.727541853650216,280.64136073099377
28,E14001063,7,2,1,2590,774.3189037408921,94.6464487067798,122.22997515448715,301.3400778724323
29,E14001063,7,2,2,2156,681.5953700742843,91.84471147419512,95.87379170346388,267.1997379580944
30,E14001063,8,0,1,719,128.7870954650983,34.45405332178338,18.293977434970568,61.29402723365152
31,E14001063,8,0,2,915,176.70663617383053,52.30171778681241,22.32664490528827,84.73691354995844
32,E14001063,8,1,1,1422,306.9881478402456,108.41660595324937,63.31724205141391,197.00357799803103
33,E14001063,8,1,2,1538,349.2200136040398,136.14238473397015,64.29007574850242,225.38708431195826
34,E14001063,8,2,1,2280,703.8168179131252,171.8365456996259,152.49502521745558,217.09903127595277
35,E14001063,8,2,2,1999,644.7130373522534,173.8517470628024,124.85795808777378,200.40196450443378
36,E14001063,9,0,1,723,127.46515826771618,71.82057436616623,12.931661209331171,82.71581368314736
37,E14001063,9,0,2,845,156.61435401129143,97.19055708725054,13.975871845326386,102.14656743135336
38,E14001063,9,1,1,1314,259.3111044674148,192.73890391557308,38.82587745668308,226.6163636946222
39,E14001063,9,1,2,1316,266.07436934318025,217.60096120776103,35.340954361093594,233.58251120442802
40,E14001063,9,2,1,1871,546.4717918063384,282.10528262241274,87.08706261382535,230.31373997845094
41,E14001063,9,2,2,1823,542.6550512044051,308.34432104463076,76.7429936056967,229.87634208467173
42,E14001063,10,0,1,954,174.55723974970792,135.90961753028859,23.485572313809595,71.78736348453778
43,E14001063,10,0,2,907,173.02177775807485,148.29723648631736,20.611806224774046,71.49286218154661
44,E14001063,10,1,1,1281,257.00371755078163,263.7699027512025,50.64984481335037,142.38638337402233
45,E14001063,10,1,2,1197,244.20119433879958,275.69240841176475,42.86143087612175,135.78739229732017
46,E14001063,10,2,1,1598,448.18399758579983,320.4282493003869,93.98297527130002,119.0765248863484
47,E14001063,10,2,2,1692,481.41479488427274,378.7301332719554,89.94639240078128,128.3531286548866
48,E14001063,11,0,1,1307,226.52179809768336,154.96383036206157,46.138114012415706,111.27896685513431
49,E14001063,11,0,2,1184,216.1491696150828,162.75767531930683,39.02330786382531,106.7245192358188
50,E14001063,11,1,1,1443,269.35455184221803,243.6875408234192,80.5027135793883,179.27737932698844
51,E14001063,11,1,2,1238,237.92588715696795,236.70777655429256,63.2667987928574,158.9493518167634
52,E14001063,11,2,1,1431,369.6941003892346,232.28524512395398,116.25374924925345,117.96261490795749
53,E14001063,11,2,2,1595,423.722895762938,292.8146922119916,118.72272784398058,135.78895545512393
54,E14001063,12,0,1,1425,245.44608917570167,209.0734157918612,42.748200772598906,196.1871576660081
55,E14001063,12,0,2,1275,226.95088658348777,213.09524029555277,34.88403280729879,182.36957371764495
56,E14001063,12,1,1,1323,228.37135453639422,256.9150625938957,58.28431820851462,246.79907299287922
